Contributors_max,Modified_elements_sum,Created_elements_sum,Week
26,9662,25443,2020-09-28
36,4345,32356,2020-10-05
18,6148,21501,2020-10-12
21,3017,9021,2020-10-19
17,4375,5385,2020-10-26
17,5571,18170,2020-11-02
21,5433,10394,2020-11-09
19,4552,25307,2020-11-16
22,3211,23278,2020-11-23
22,3128,12604,2020-11-30
23,4510,12271,2020-12-07
16,1911,11641,2020-12-14
15,1735,3061,2020-12-21
28,24130,242965,2020-12-28
39,21874,196064,2021-01-04
43,32955,325110,2021-01-11
29,7071,26154,2021-01-18
41,33123,347117,2021-01-25
34,19634,375467,2021-02-01
34,30109,431551,2021-02-08
29,8493,62044,2021-02-15
44,2786,9589,2021-02-22
27,5279,37580,2021-03-01
23,3538,10978,2021-03-08
21,4984,22494,2021-03-15
23,1910,21895,2021-03-22
27,1968,9718,2021-03-29
30,1231,35213,2021-04-05
