user,Nodes,Ways,Relations
Geoplace,765,51,0
Francisco Campillo Latorre,759,104,0
henrybriian,757,81,0
EPN Kenny López,755,153,0
lbburnsy,755,38,0
SilviaDee,753,156,0
Arsène,751,197,0
Danilo Mejia Coronel,751,34,0
Hans Ongbrian,750,152,2
Lenin Orellana,750,159,0
bolollo,747,133,0
gendy54,746,209,0
Long Friday,746,121,0
Fontaciera,744,102,0
Dougie The One and Only,741,109,0
Andrw,737,210,0
carlpineda,737,135,0
JEANMOSQUERA,736,226,0
psrod,736,127,0
Gill Rodger,735,38,0
Twun,735,67,0
Titutitu,733,31,0
somethingsimple,732,25,0
XuRxO,732,241,0
Xandva158,729,84,0
luisgomez,726,77,0
wilbuz,725,161,0
DavidLeo,722,63,0
Sawan Shariar,722,182,0
uhliesuh,719,70,0
JasnaBudhathoki,718,209,0
altcc,716,133,0
ANDREA ol,712,98,1
TJRevan,712,2,0
anacristinam89,708,139,0
Nishank,707,39,0
arturogutipi,704,128,0
martinzhindon,703,70,0
Yohanautpl,701,257,0
SimonPoole,700,57,0
johnm,699,23,0
Santiago04,696,44,0
Kelli Daniels,695,127,0
FulgenCanovas,694,138,0
adrianfdez57,686,111,0
jamesmillington,686,37,0
Isis Gómez,684,41,0
geoglrb,679,55,0
Francisco Monsalve,678,143,0
DiegoP,674,122,0
Epn Jose,674,41,0
ElliottPlack,672,107,0
JessieZ,671,147,0
Ruby Macas,666,20,0
bhousel,665,171,0
Antonio Rodríguez Garcés,663,95,0
Jelenna93utpl,660,157,0
LeoPendergraft,660,81,0
Marynia,660,69,1
tato_benavidez,660,348,0
Sydney Gore,658,53,0
SBassett,655,51,0
tunnelbauer,654,7,0
Thomas Hills,650,121,0
lottf,649,78,0
Leah,648,60,0
Eduardo Tacuri,647,24,0
sebas27x,645,0,0
Ruffus,643,102,0
GoUtes!,641,69,0
raddevelopment9,640,129,0
Danielsarangoutpl,638,112,0
ad_mil,637,108,0
Edison Ayo,637,110,0
Alexander Nieves,636,185,0
vademecum,635,66,0
rachlynn,633,173,0
cquest,632,77,0
AndreaGQ,630,33,0
ianttusmith,629,62,0
Natalia Valarezo,629,67,0
Byron_,627,175,0
Fearandir,626,98,0
RoadMapsYou,626,107,0
51114u9,623,73,0
Cris Duran,623,152,0
Fabian Espinoza,622,95,0
MartinAlban,622,65,0
Ronald_UTPL,622,124,0
jwetzig4,620,67,0
andeedwa,619,22,0
anita88lopez,618,66,0
Lani_Martin,616,90,0
_yog,612,156,0
Geofreund1,612,82,0
Kuinsy,612,114,0
LUIS LEONARDO RÍOS,610,108,0
Adalid  Agreda,607,60,0
franklin Chuncho,606,102,0
MAGAP - Fabian Luna,605,150,0
jjvillavicencio,604,61,0
Yuriutpl,604,175,0
Zero_14_14,603,64,0
Pao Atariguana,600,136,0
schmidkr,600,172,0
Jojo4u,599,58,0
Marius5000,599,91,0
Allyutpl,598,95,0
delatorre89,598,107,0
BrigitteUTPL,596,157,0
nammala,596,147,0
pattyperaltautpl,595,93,0
Ximelu24,588,148,0
Andresjack,587,101,0
parrajuandg,583,2,0
ludivinelavaert,582,28,0
Nioigte,578,125,0
simone falzoi,577,142,1
Danny-Micro-chip,576,31,0
blarsonGIS,575,136,0
Enric-sueca,574,93,1
Villodie,573,33,0
Ana94,571,87,0
Claudia Arroyave,571,33,0
hola_mruiz,571,321,0
OmarLandy,571,57,0
mpan,570,95,0
Belen 2016,569,95,0
wulankhairunisa,569,129,0
ByronGB,568,78,0
Julian Lozano,568,97,0
DNASWE,567,23,0
pyritedigger,567,99,0
Mapanauta,565,98,0
cdrasher,563,104,0
Alexis Amagua,561,145,0
fmvaldezg,560,201,0
Paul Esteban,560,4,0
mwilliams3,559,10,0
Lenin Torres,558,102,0
Nathalie Santamaria,558,127,0
Geo1605,556,78,0
psegundo,556,75,0
Rafatandrade,554,45,0
Jorgeutpl,553,127,0
nqpenelope,553,130,0
[LM]MIZ,550,68,0
astronautt,549,30,0
carolineutpl,543,69,0
grovduck,540,36,0
Nosfferatuu,540,58,0
Oriol1392633,538,67,0
geografoaplicado,536,118,0
GISCrow,535,114,0
mariaca52,535,208,0
reschult,534,31,0
Alfredo Pérez-Morales,529,81,0
Alitagc,526,113,0
danbjoseph,525,93,0
oini,525,28,0
PavelArup,525,52,0
barbieriiv,524,62,0
AlexAguirre,523,47,0
Dania Crespo Mora,522,85,0
Frank fra Bergen,522,118,0
Diego Morocho,521,21,0
KarolaMitK,521,189,0
Ana Teresa Rosales Rodríguez,520,57,0
SuzanneSy,520,63,0
Wim L,520,37,0
Esquimaux,519,120,0
Justin Bosler,519,21,0
Santiago_GU_Ca,519,7,0
Cristian Córdova,518,139,0
M_Vizcaino,516,66,0
Truman Cueva L,516,70,0
Anderson Montoya,515,27,0
Mari Dani,514,130,0
EPN_Carlos,512,122,0
Inger Johanne Rasmussen,512,43,0
Labra,512,41,0
etu,511,68,0
CENTSOARER,509,39,0
Ana2391,507,110,0
BenoitK,507,98,0
eliasp,507,39,0
natalyamarika,505,120,0
jhosue3,504,135,1
Patton Yawa,504,100,0
unsungNovelty,504,40,0
Boron the Bold,503,95,1
EPN-JairoVera,503,27,0
pere prlpz,503,48,0
Belén Rojas,501,154,0
iharada,501,114,0
Rudy Castaneda,501,184,0
SamaLuna,501,91,0
Educcio,500,109,0
Grace Vera,500,100,1
Israel valente,500,81,0
thaliautpl,499,174,0
jagorce,498,58,0
shantadbz,498,76,0
Luchouski,496,121,0
SebasArgudo,496,36,0
MONTSERRATGG,493,30,0
MaloriHag,492,21,0
mayra!,492,102,1
PTapiaRodas,490,62,15
lordhoth444,489,27,0
31415926535,487,77,0
Ronald Gualan,483,85,0
Israel_Erque,482,98,0
Turtur,479,52,0
AlisonA,477,84,0
Cageo_80,477,48,0
DenisCarriere,477,39,0
ILikeTurtles512,476,61,0
tsubi,476,69,0
AnnFrías,475,14,0
avery_johnson423,475,104,0
Darwin Alexander,475,23,0
NicolaXShadow,475,36,0
nmelinap,474,44,0
m902,473,110,0
Jimiiee,472,46,0
carolinchen,470,122,0
Omita,470,59,0
RAFAEL LEONARDO HERNANDEZ,470,149,0
ccsolana,466,129,0
EPN_Wilson,466,84,0
Trucumarlentus,464,75,0
Lizutpl,463,150,0
Algafix,459,53,0
Luca Salini,459,12,0
oettlerbier,457,59,0
Liinchen,456,74,0
maruvi,455,83,0
parsewski,455,74,0
WillowCC,452,16,0
icolmenero,451,57,0
jebusmr,448,66,0
Vaniz,448,57,0
tdobbs,447,74,0
Prophecy_ecu,446,66,0
Dalopez,444,98,0
seattlefyi,444,70,0
Victosky,444,95,0
yurasi,444,80,0
daniiels,442,206,0
Jorge Espinosa,442,182,0
epn_paccha,440,39,0
stefany1897,439,85,0
Nyctomys,438,43,0
Jonathan Alexander,436,77,0
HJG,435,94,0
Geovany Ludeña,434,63,0
juanpmm,433,44,0
amarula,430,9,0
Estefaníavivar,429,166,0
ISMANDRES,429,12,0
laurenbiscombe,429,85,0
Xevi,428,96,0
EPN_Madai,427,202,0
luisdavid-bravo-valarezo,427,72,1
PABLO VARELA CUERVAS MONS,425,98,1
Pablo Borja,424,240,0
buttram,423,5,0
marinoh,423,68,0
anglopas,422,75,0
Judit Antoranz,422,59,0
MaryluK,422,91,0
IndianaJones737,421,68,0
jrcordes,421,97,0
Ljarteaga,420,36,0
Brian Mc-Ka,419,110,1
liviadegrossi,418,93,0
maryamL,418,91,0
KarrySantoyo,417,80,0
luzcerv,417,202,0
baris20,416,166,0
havadto,415,89,0
mat_593,415,5,0
RobertoRocha,415,63,0
steffen1966,415,44,0
Zeusin,414,72,0
JMBocan,413,76,0
Marcelo Samaniego,413,64,0
matiuxd,413,37,0
MariaAlejandra,412,70,0
ncorti,412,43,0
PaoDenis,411,306,0
Majito Chabla,410,140,0
Giovanni_viscomi,408,53,0
pame3utpl,408,81,0
Wilson Asqui,408,52,0
EPN chamoRC,407,21,0
Zata89,405,28,0
maxolasersquad,404,55,0
fleal,403,15,0
Jorge Navarro,400,26,0
Anita Cumer,398,15,0
RabeSammy,396,48,0
VIVI NATHALY,396,87,0
ba_ke,395,139,0
KJeppe,395,28,0
matthewsheffield,395,253,0
EPN_Felipe,393,73,0
AngusGeo17,392,27,0
Durant,392,75,0
Nezipt,392,77,0
Davidgm26,391,21,0
gonzalobandac,391,38,0
cronoser,390,43,0
paztelullauri,389,59,0
Chrisss Gü,388,86,0
Diani_G,388,72,0
ebrelsford,388,93,0
fma027,388,104,0
StineHelen,388,16,0
Sea Tea Zen,386,46,0
Alex Ati,385,104,0
richyrivera,385,61,0
Sebastian Eguiguren UTPL,384,291,0
trevormathstorm,382,29,0
linda_was_there,380,15,0
ZaklinaButorac,380,95,0
AETA,250,378,0
AnaLp,378,92,0
malwazir,378,43,0
ProjectThis,378,29,0
Enrique Moron,377,35,0
Jhandry,377,35,0
Daniel Quintero Segura,375,24,0
michuherrera2108,375,63,0
Nairim83,375,27,0
J_Winters,374,36,0
AidaMin,373,47,0
epndanielpozo,373,81,0
Sam-T_91,373,66,0
MrMoehritz,372,45,0
Luigirog,371,19,0
sheshaj,370,61,0
corvidaej,369,16,0
davidfti,369,22,0
Marierrauskin,369,87,0
DEco1000,367,39,0
Keith Greville,367,66,0
mwhittle91,367,34,0
Darwin Allauca,365,82,0
msafari,364,103,0
Alicia Y,363,75,0
juanda097,360,17,0
pancholp,360,100,0
Tamia Gómez,360,204,0
Ángel_101,359,8,0
EPN_David_Mejia,358,36,0
juanpadiazs,358,42,0
maddison,358,70,0
Lizzeth,357,66,0
lomejordejr,357,325,0
luisvaz030647,357,85,0
StanleyFrancois,357,141,0
meliamo,355,62,0
Palanganer,355,46,0
sn1ks,355,38,0
telmoandres12,355,45,0
Vitobrito,355,5,0
clauhuertas,354,42,0
Angel_uio,353,12,0
CrisN,351,263,0
EPNmarcelocalero,351,91,0
Queli,351,53,0
razor74,351,136,0
EPNChristianBasantes,349,66,0
Kevin Baque,349,86,0
Radi7,349,76,0
abelvm,348,83,0
J_runner,348,82,0
AnjaLouisaMaria,347,5,0
MateoGG,347,49,0
oiva,346,29,0
xavysp,345,13,1
julionovoa,344,33,1
JulesW,343,58,0
sheddi,343,92,0
VGCVGC,343,39,0
dnavarrocueto,340,76,0
plamois,340,82,0
churipakinti,339,26,0
GeoJenne,338,76,0
DaniPoliEsfot,337,14,0
Innisfree,336,26,0
JohnyD86,336,14,0
rmot,336,48,0
trimino,336,100,0
vasquezpablo,336,38,0
yopaseopor,336,26,0
quadero,335,8,0
Juan Sardi,334,80,0
Marshy8,334,8,0
JoseRM89,332,78,0
pmurphyt,332,26,0
BigPigVT,331,65,0
Erick208,331,151,0
Christian Camilo Lenis,330,42,0
Jorge Garrido,329,41,0
amunozbo,328,75,0
Ana Mendoza Guzmán,327,66,0
Andrés Flores,327,60,0
Fahad0711,327,6,0
Lou@Leeds,326,61,0
Daniela Marino,325,31,0
SEBASTIANMOSCOSO,325,45,0
xAd_Nazar,325,39,0
alequech,324,7,0
Emanuel Roatis,324,7,0
I'mBatman,324,53,0
Jelena333,324,104,0
miguelrf6,324,143,0
noward,324,81,0
Felipe Poveda,323,45,0
xiomyutpl,323,177,0
Statick,322,56,0
vcabezas,321,25,0
chrisfow87,320,57,0
Edwin Puco,319,50,0
DavidMolinaCalle,318,27,0
DianaPalaciosUTPL,317,91,0
Danny Wiggins,316,63,0
GBoulanger,316,103,0
JZ07016UTPL,316,41,0
RyanKuntz1,316,30,0
jeffpabaz,315,66,0
Carlos_Martínez_H,312,71,0
estollman,312,68,0
Alexander Socola,311,1,0
jose ayala,311,10,0
Adrián Chucuri,309,8,0
edgrmdna,309,33,0
jugdemon,309,64,0
margainclanrobr,309,84,0
Txiki,309,16,0
Julio César Muñoz Rengifo,307,102,0
likeaqueen,307,19,0
bufferclip,306,85,0
Kathyutpl,306,84,0
tarafa9,306,43,0
EPN Erick,304,70,0
JonathanV,302,9,0
Danny Jose,300,24,0
Patty_Collaguazo,300,61,0
Rafa Sesena,300,26,0
BladyMir,299,15,0
Israel Chacha,299,104,0
DamNn,298,41,0
Geographie_Sonne,298,67,0
andrea_forNepal,297,79,0
Carlopez,297,37,0
Humberto_Yances,296,42,0
Jessica Quishpe,296,24,0
JFOOutpl,296,157,0
jofrealex,296,23,0
ec ai,295,51,0
rwcaraguay,295,64,0
Tatys G,295,69,0
annacarol,294,21,1
Ibeth,294,19,0
pattylu,294,85,0
Amanda Sosnowski,291,37,0
Efraín,291,30,0
Fabián Sinchi,291,8,0
Jonas Rugys,291,13,0
Mike Millner,291,78,0
Refrigerator,291,53,0
Sicmar,291,47,0
Ana D,290,14,0
arafin,290,64,0
Lidiabornás,290,85,0
Raul Bastidas,290,6,0
gadm_happy,289,8,0
GRILLEDCHEESELOL,288,16,0
4b696d,286,14,0
Ana Sayago,286,99,0
Fasan565,284,55,0
Maria_va,284,25,0
Trish Graham,284,38,0
TylerOSM,284,47,0
ramiroaznar,283,38,0
danielanaluisa,282,63,0
EstebanCuñez14,281,24,0
Johha,281,30,0
NWS,281,60,0
peregrino78,281,8,0
Abadal,280,58,0
dorispineda,280,10,0
JasMart00,280,59,0
Pablo_Andres1993,280,29,0
abugel,277,11,0
cristian94,277,91,0
insua,277,2,0
Jose Romero,277,48,0
MelissaWM,277,32,0
thkcy,277,56,0
Thorum,277,33,0
Henrry Andrés,276,26,0
la_Lu,275,26,0
Gang Li,274,19,0
Lore Abad,274,83,0
Alberto_Geograma,273,21,0
Miguel A Songor,273,31,0
Yayo00:),273,6,0
EPN DanielSamaniego,272,6,0
j3m,272,7,0
kmcordovaUTPL,272,95,0
EmiliaTA,271,61,0
victormg,271,87,0
Kelasa,270,36,0
