lat,lon,Nodes
0.7,-79.9,6458
0.7,-79.8,2532
0.7,-79.6,3
0.8,-80.1,2359
0.8,-80,6088
0.8,-79.9,27490
0.8,-79.8,14647
0.8,-79.7,2866
0.8,-79.6,2441
0.8,-79.5,61
0.8,-78,62
0.8,-77.7,5
0.9,-79.9,13234
0.9,-79.8,35560
0.9,-79.7,120292
0.9,-79.6,18022
0.9,-79.5,5417
0.9,-79.4,337
1,-79.8,41
1,-79.7,89721
1,-79.6,23534
1,-79.5,11905
1,-79.4,336
1.1,-79.5,265
1.1,-79.4,96
1.3,-78.9,1
1.4,-78.9,1
