username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/10/07 17:01;1672;3742;"Los indígenas entrando a Quito, a temblar Lenin Moreno, el pueblo ecuatoriano es poder y tumbara su cuarto presidente neoliberal. #ElParoSigue #ParoNacionalEcuador #EcuadorEnResistencia El ejemplo del pueblo ecuatoriano es grande.pic.twitter.com/idP6SJ8CRQ";;;#ElParoSigue #ParoNacionalEcuador #EcuadorEnResistencia;"1181328626727473154";https://twitter.com/indignadocol1/status/1181328626727473154
;2019/10/07 16:59;134;118;"Y entonces, al sur de #Quito el pueblo avanza. Y @Lenin, ¿Dónde está? Todos los detalles #ParoNacionalEcuador por @teleSURtv y @telesurenglish https://twitter.com/rolandoteleSUR/status/1181327045533540358/video/1 …pic.twitter.com/rUWQTwEGpn";;@Lenin @teleSURtv @telesurenglish;#Quito #ParoNacionalEcuador;"1181328310103613440";https://twitter.com/rolandoteleSUR/status/1181328310103613440
;2019/10/07 16:53;1342;823;"#ATENCIÓN | Momentos de pánico se vivieron en el centro-norte de Quito tras una fuerte represión policial contra un joven manifestante. Video muestra las agresiones que recibió. #ParoNacionalEcuador pic.twitter.com/qEqN7P3mkG";;;#ATENCI #ParoNacionalEcuador;"1181326814259494912";https://twitter.com/pichinchauniver/status/1181326814259494912
;2019/10/07 16:47;220;222;"La soberbia le pasa factura al Gobierno. El "honor" de las Fuerzas Armadas en la batalla de Tambillo. #ParoNacionalEcuador pic.twitter.com/WjUZyUY7CP";;;#ParoNacionalEcuador;"1181325265752018944";https://twitter.com/relicheandres/status/1181325265752018944
;2019/10/07 16:42;143;315;"La situación va de mal en peor... no se en que acabaremos :"( #SOSEcuador #ParoNacionalEcuador pic.twitter.com/WfBXlkuBuN";;;#SOSEcuador #ParoNacionalEcuador;"1181324007452352513";https://twitter.com/Hoseok2003BTS/status/1181324007452352513
;2019/10/07 16:42;229;244;"#ATENCIÓN | #Ecuador Movimiento indígena a su llegada a #SantaRosa, hacen que la barrera militar retroceda y se abren paso para continuar con su trayecto. #ParoNacionalEcuador ESPECTACULAR @rhm1947 @taniasandinista @RalitoDigital @FloryCantoXpic.twitter.com/D2onjejZ2C";;@rhm1947 @taniasandinista @RalitoDigital @FloryCantoXpic;#ATENCI #Ecuador #SantaRosa #ParoNacionalEcuador;"1181324006747758592";https://twitter.com/ChalecosAmarill/status/1181324006747758592
;2019/10/07 16:36;183;185;"#URGENTE El pueblo organizado hace retroceder a militares. ¡El pueblo unido, jamás será vencido! Esta es la manifestación ciudadana, pacífica, todos en una sola lucha por el rescate del país. No más represión al pueblo. Abajo el #PAQUETAZO #ParoNacionalEcuador #ElParoSiguepic.twitter.com/J2XGwuNRqf";;;#URGENTE #PAQUETAZO #ParoNacionalEcuador #ElParoSiguepic;"1181322391877820417";https://twitter.com/Vivi_GuevaraV/status/1181322391877820417
;2019/10/07 16:26;369;436;"#ATENCIÓN | En el sector de la curva de Santa Rosa, se reporta la posesión y quema de una 'tanqueta' de las @FFAAECUADOR por parte de los manifestantes. #ParoNacionalEcuador pic.twitter.com/xyKIWMqaIF";;@FFAAECUADOR;#ATENCI #ParoNacionalEcuador;"1181319973437923329";https://twitter.com/pichinchauniver/status/1181319973437923329
;2019/10/07 16:24;251;359;""Espere, tome tostadito" Este niño les regala un puñado de tostado a militares que "vienen caminando de lejísimos" EL PUEBLO NO DEBE ENFRENTARSE CONTRA EL PUEBLO LOS NIÑOS SIEMPRE DEMOSTRANDO QUE SON MEJORES SERES HUMANOS QUE NOSOTROS LOS ADULTOS #ParoNacionalEcuador pic.twitter.com/hbMzjTOaRr";;;#ParoNacionalEcuador;"1181319450999558144";https://twitter.com/FERBUSTAMANTEG/status/1181319450999558144
;2019/10/07 16:22;105;129;"Ecuador Resiste a las políticas de hambre de Lenin Moreno. #ParoNacionalEcuador pic.twitter.com/xQ25vwML92";;;#ParoNacionalEcuador;"1181318955144744960";https://twitter.com/14capo/status/1181318955144744960
;2019/10/07 16:21;417;649;"Derecho a la RESISTENCIA. Quito Luz de América y el Ecuador entero merecemos vivir con dignidad. Rechazamos la receta del FMI. Somos pueblo y no descansaremos hasta que se derogue este paquetazo que trae hambre y miseria, al pueblo. #ParoNacionalEcuador # pic.twitter.com/2PJ1KyDbvs";;;#ParoNacionalEcuador #;"1181318617461379078";https://twitter.com/LuisaMaldonadoM/status/1181318617461379078
;2019/10/07 16:21;343;351;"16:15 #Ecuador ll El movimiento indígena continúa en su recorrido hacia #Quito. A esta hora llegan a #Amaguaña con destino a #Carondelet. #ParoNacionalEcuador Fuente: @pichinchauniverpic.twitter.com/qrTQsdFGrh";;@pichinchauniverpic;#Ecuador #Quito #Amagua #Carondelet #ParoNacionalEcuador;"1181318532149235712";https://twitter.com/EnMediatica/status/1181318532149235712
;2019/10/07 15:55;127;99;"Manifestantes ya pasaron el segundo cerco y avanzan hacia el centro histórico. Llevan las rejas que arrancaron de los parterres. #ParoNacionalEcuador #ParoNacionalECpic.twitter.com/neDp8TSUpa";;;#ParoNacionalEcuador #ParoNacionalECpic;"1181312058832424962";https://twitter.com/mariasolborja/status/1181312058832424962
;2019/10/07 15:33;337;267;"Sur de Quito. Hoy, 7 de Octubre de 2019. #ParoNacionalEcuador pic.twitter.com/onaL9SbvxJ";;;#ParoNacionalEcuador;"1181306569377669122";https://twitter.com/pvillegas_tlSUR/status/1181306569377669122
;2019/10/07 12:49;153;172;"Quevedo se levanta #SOSEcuador #ParoNacionalEcuador #QueSeVayanTodos @cesarlitardo y @AsambleaEcuador que esperan de intervenir y aplicar el 130 de la CREpic.twitter.com/9NZgJW5qE7";;@cesarlitardo @AsambleaEcuador;#SOSEcuador #ParoNacionalEcuador #QueSeVayanTodos;"1181265191000055813";https://twitter.com/wgomezr/status/1181265191000055813
;2019/10/07 12:05;150;182;"Y así se siguen sumando, como lo decía un gordito y borrachín de #ElPeorGobiernoDeLaHistoria tic tic tic toc #ParoNacionalEcuador #ElParoSigue #SOSEcuadorhttps://twitter.com/elcomerciocom/status/1181231948842373121 …";;;#ElPeorGobiernoDeLaHistoria #ParoNacionalEcuador #ElParoSigue #SOSEcuadorhttps;"1181254158395019265";https://twitter.com/wgomezr/status/1181254158395019265
;2019/10/07 11:51;125;116;"Otro saqueo se registró en el país durante el #ParoNacionalEcuador. Ahora el desmadre sucedió en la fábrica de #Parmalat en #Lasso.pic.twitter.com/pyYwlHWUcn";;;#ParoNacionalEcuador #Parmalat #Lasso;"1181250661117255682";https://twitter.com/LaPosta_Ecu/status/1181250661117255682
;2019/10/07 11:30;363;408;"El pueblo de Manta, en Manabí, continúa las protestas en rechazo a las medidas económicas de @Lenin Moreno y el recetario del FMI. En la lucha del pueblo -de este pueblo alfarista- nadie se cansa. #AguanteManabí #ParoNacionalEcuador pic.twitter.com/jdmD04Q3sz";;@Lenin;#AguanteManab #ParoNacionalEcuador;"1181245444309110784";https://twitter.com/LaKolmenaEC/status/1181245444309110784
;2019/10/07 10:12;214;189;"#Ecuador | Comunidades indígenas avanzan hacia Quito para sumarse a las protestas del #ParoNacional Las principales vías de la capital han sido bloqueados este lunes en rechazo a las reformas económicas de Lenín Moreno https://go.shr.lc/30WXCNY  #ParoNacionalEcuador pic.twitter.com/fQpAFYUPhc";;;#Ecuador #ParoNacional #ParoNacionalEcuador;"1181225877910241280";https://twitter.com/teleSURtv/status/1181225877910241280
;2019/10/07 10:08;172;189;"#ATENCIÓN | A esta hora una caravana de vehículos escolares e institucionales se movilizan sobre la Ruta Viva - Simón Bolívar con dirección al redondel de #Zámbiza. #ParoNacionalEcuador pic.twitter.com/UzZTLMuxAz";;;#ATENCI #Z #ParoNacionalEcuador;"1181224874972520450";https://twitter.com/pichinchauniver/status/1181224874972520450
;2019/10/07 09:29;164;173;"Cobertura del #ParoNacionalEcuador por #Hispantv @Hispantvpic.twitter.com/vXGBypj9Dc";;@Hispantvpic;#ParoNacionalEcuador #Hispantv;"1181214968185851904";https://twitter.com/robinrobles/status/1181214968185851904
;2019/10/07 07:28;137;111;"del canal y las llaves del auto. Trataron de botar la cámara de mi compañero al piso. Luego de borrar todo nos hicieron correr al auto e irnos. #ParoNacionalEcuador";;;#ParoNacionalEcuador;"1181184411603210240";https://twitter.com/AndreaOrbe5/status/1181184411603210240
;2019/10/07 06:58;126;138;"Pasa el gobernador del Cañar @GOBERCANAR pidiendo que le den paso y se da con el pueblo en toda la cara.... #ParoNacionalEcuador pic.twitter.com/rAIBjHPtqS";;@GOBERCANAR;#ParoNacionalEcuador;"1181177000070909953";https://twitter.com/hijodelsuelo/status/1181177000070909953
;2019/10/07 05:22;291;480;"Volcaron una tanqueta... Si estos peleaban en la guerra del 41, hoy seríamos peruanos. #ParoNacionalEcuador pic.twitter.com/mVZouCfcbr";;;#ParoNacionalEcuador;"1181152727545634817";https://twitter.com/Raidkkonen/status/1181152727545634817
;2019/10/07 00:10;165;109;"Urgente Los militares impiden la entrada del pueblo indígena a #Quito #ParoNacionalEcuador pic.twitter.com/qUdzqXcjXf";;;#Quito #ParoNacionalEcuador;"1181074274842484736";https://twitter.com/Meluzambrano/status/1181074274842484736
;2019/10/06 23:26;666;515;"Estas son las amenazas del ministro de @DefensaEc Oswaldo Jarrín para la ciudadanía y los pueblos indígenas que participan en el #ParoNacionalEcuador. La historia recordará su nombre y sus actos contra la gente. #ElParoRecienEmpieza #ElParoSigue #ElParoNoParapic.twitter.com/yrHf5dnBV8";;@DefensaEc;#ParoNacionalEcuador #ElParoRecienEmpieza #ElParoSigue #ElParoNoParapic;"1181063154303979521";https://twitter.com/radiolacalle/status/1181063154303979521
;2019/10/06 22:14;91;92;"Este mentiroso OSWALDO JARRIN dice en cadena nacional "no existen militares retenidos" #CadenaNacional 10 minutos después ECUAVISA dice que hay 53 militares retenidos @Lenin se te huele el miedo! La cara que tenías era la misma que te hizo poner el wacho! #ParoNacionalEcuador pic.twitter.com/IkWf4PKYNR";;@Lenin;#CadenaNacional #ParoNacionalEcuador;"1181045089658982401";https://twitter.com/davidpazviera/status/1181045089658982401
;2019/10/06 21:48;229;179;"La ministra @mariapaularomo dice en la #CadenaNacional que la policía solamente ataca cuando no tiene otra alternativa. Esto sucedió en Cuenca. No había otra alternativa? #ParoNacionalEcuador #ParoEcuadorpic.twitter.com/SuXKcyQ1L7";;@mariapaularomo;#CadenaNacional #ParoNacionalEcuador #ParoEcuadorpic;"1181038607622197248";https://twitter.com/gortegaj/status/1181038607622197248
;2019/10/06 21:45;310;224;"DE VUELTA AL PASADO| En Oct de 1984 L.F. Cordero decidió enviar tanques de guerra al edificio de la Corte Suprema de Justicia. Hoy, 35 años después, el gobierno de @Lenin Moreno prepara a los blindados para recrudecer la violencia contra los manifestantes del #ParoNacionalEcuador https://twitter.com/VerdugaAugusto/status/1181036196581056513 …";;@Lenin;#ParoNacionalEcuador;"1181037789493809152";https://twitter.com/LaKolmenaEC/status/1181037789493809152
;2019/10/06 21:43;177;152;"Este Jarrín, seudo ministro de defensa, prepotente de escritorio, es un MENTIROSO nivel jerárquico superior... Estas TANQUETAS que han llegando al Centro de Quito, son de la Caballería Blindada del Ejército y NO “blindados antimotines de la Policía”. #ParoNacionalEcuador pic.twitter.com/gtZ3vu1o8F";;;#ParoNacionalEcuador;"1181037364786946050";https://twitter.com/IsmaelUlloa11/status/1181037364786946050
;2019/10/06 21:31;247;591;"Alguien infórmele al Ministro de Defensa que los territorios de los pueblos indígenas existen y están reconocido en la Constitución. #ParoNacionalEcuador";;;#ParoNacionalEcuador;"1181034178864922626";https://twitter.com/LoloMino/status/1181034178864922626
;2019/10/06 21:20;246;251;"Así es como @Lenin está decidido a dialogar con grupos indígenas. Bonita forma de incentivar el diálogo. #ElPeorGobiernoDeLaHistoria #ElParoReciénEmpieza #ElParoSigue #ParoNacionalEcuador #Ecuadorpic.twitter.com/cDyDHWQsiF";;@Lenin;#ElPeorGobiernoDeLaHistoria #ElParoReci #ElParoSigue #ParoNacionalEcuador #Ecuadorpic;"1181031530908569601";https://twitter.com/Marilyn_ib/status/1181031530908569601
;2019/10/06 20:24;157;149;"Esta ciudadana no pudo definir mejor a este gobierno: “¡ESTÁN LOCOS!” #ParoNacionalEcuador #ElParoSigue #ElParoRecienEmpieza #QueSeVayanTodospic.twitter.com/IAZk1Ieu8A";;;#ParoNacionalEcuador #ElParoSigue #ElParoRecienEmpieza #QueSeVayanTodospic;"1181017458183946240";https://twitter.com/radiolacalle/status/1181017458183946240
